1, 33, F
2, 30, F
3, 55, C
4, 68, B
5, 42, D
6, 47, D
7, 61, C
8, 57, C
9, 49, D
10, 66, C
11, 66, C
12, 45, D
13, 31, F
14, 66, C
15, 19, F
16, 44, D
17, 79, B
18, 59, C
19, 38, F
20, 53, C
21, 54, C
22, 68, B
23, 52, C
24, 44, D
25, 59, C
26, 53, C
27, 46, D
28, 71, B
29, 71, B
30, 34, F
31, 46, D
32, 7, F
33, 30, F
34, 41, F
35, 40, F
36, 62, C
37, 59, C
38, 59, C
39, 60, C
40, 35, F
41, 75, B
42, 23, F
43, 73, B
44, 68, B
45, 55, C
46, 54, C
47, 65, C
48, 73, B
49, 29, F
50, 25, F
51, 65, C
52, 41, F
53, 55, C
54, 50, D
55, 73, B
56, 44, D
57, 39, F
58, 73, B
59, 63, C
60, 60, C
61, 31, F
62, 71, B
63, 45, D
64, 25, F
65, 43, D
66, 60, C
67, 49, D
68, 42, D
69, 16, F
70, 55, C
71, 37, F
72, 71, B
73, 48, D
74, 30, F
75, 34, F
76, 73, B
77, 44, D
78, 35, F
79, 57, C
80, 49, D
81, 46, D
82, 52, C
83, 68, B
84, 69, B
85, 89, A
86, 52, C
87, 53, C
88, 47, D
89, 66, C
90, 81, B
91, 52, C
92, 56, C
93, 61, C
94, 47, D
95, 53, C
96, 50, D
97, 27, F
98, 61, C
99, 62, C
100, 82, A
101, 74, B
102, 33, F
103, 42, D
104, 47, D
105, 93, A
106, 31, F
107, 47, D
108, 31, F
109, 43, D
110, 29, F
111, 63, C
112, 53, C
113, 42, D
114, 46, D
115, 29, F
116, 66, C
117, 36, F
118, 53, C
119, 60, C
120, 32, F
121, 95, A
122, 68, B
123, 58, C
124, 13, F
125, 41, F
126, 80, B
127, 86, A
128, 30, F
129, 44, D
130, 39, F
131, 61, C
132, 53, C
133, 58, C
134, 73, B
135, 65, C
136, 46, D
137, 44, D
138, 46, D
139, 41, F
140, 56, C
141, 21, F
142, 52, C
143, 25, F
144, 36, F
145, 18, F
146, 49, D
147, 24, F
148, 62, C
149, 32, F
150, 83, A
151, 58, C
152, 53, C
153, 64, C
154, 37, F
155, 20, F
156, 75, B
157, 31, F
158, 35, F
159, 34, F
160, 40, F
161, 53, C
162, 38, F
163, 14, F
164, 45, D
165, 76, B
166, 42, D
167, 65, C
168, 82, A
169, 36, F
170, 67, B
171, 48, D
172, 64, C
173, 66, C
174, 56, C
175, 58, C
176, 47, D
177, 41, F
178, 28, F
179, 51, D
180, 27, F
181, 64, C
182, 30, F
183, 64, C
184, 52, C
185, 26, F
186, 58, C
187, 57, C
188, 58, C
189, 30, F
190, 53, C
191, 45, D
192, 47, D
193, 43, D
194, 39, F
195, 62, C
196, 42, D
197, 4, F
198, 80, B
199, 49, D
200, 19, F
201, 69, B
202, 38, F
203, 39, F
204, 44, D
205, 50, D
206, 69, B
207, 56, C
208, 49, D
209, 51, D
210, 52, C
211, 66, C
212, 71, B
213, 65, C
214, 50, D
215, 82, A
216, 28, F
217, 41, F
218, 55, C
219, 78, B
220, 38, F
221, 41, F
222, 49, D
223, 41, F
224, 62, C
225, 57, C
226, 18, F
